text,created_at,retweet_count,url
"RT @madzzic: 하 오늘 꿈에서
뉴진사 새멤버로 데뷔하는데
안무도 하나도 모르고 진심 저 아줌마 뭐냐는 소리 들어서 너무 괴로웠음 심지어 연말무대에서 데뷔해가지고 인터넷 난리나고 민희진은 저거 쫓아내라고 소리지르고 뉴진스 멤버들이 나 불편해하…",2024-07-20T06:51:51.000Z,1696,https://twitter.com/twitter/status/1814553791561408668
"RT @MBC_entertain: 아ㅏㅏㅏㅏㅏㅏ
(다들 아시겠지만) 고봉밥진스 음중에서 하입보이까지 했어~~🥹🥹🥹
덕분에 즐거웠습니다~✨✨🐥

📷 ☞https://t.co/fLrVawLhMk

240713 #쇼음악중심 #음중 #뉴진스 #NewJean…",2024-07-20T06:51:42.000Z,810,https://twitter.com/twitter/status/1814553756337647744
"RT @pilyononohada: 뉴진스 하이터치회 한정 회장 포카 버니즈 캠프 프리미엄 일반석 공방 라인프렌즈 무라카미 티셔츠

해린 8.0
하니 8.0
민지 5.0
단체 4.0

newjeans pc photocard wts wtb haerin…",2024-07-20T06:51:35.000Z,0,https://twitter.com/twitter/status/1814553723735318767
RT @HanniTaiwan: [240720]💽Hanni ‘Supernatural’ and ‘How Sweet’ album SOLD OUT in more shops/after restock with the highest price on Naver K…,2024-07-20T06:51:23.000Z,38,https://twitter.com/twitter/status/1814553672967463414
"RT @madzzic: 하 오늘 꿈에서
뉴진사 새멤버로 데뷔하는데
안무도 하나도 모르고 진심 저 아줌마 뭐냐는 소리 들어서 너무 괴로웠음 심지어 연말무대에서 데뷔해가지고 인터넷 난리나고 민희진은 저거 쫓아내라고 소리지르고 뉴진스 멤버들이 나 불편해하…",2024-07-20T06:51:20.000Z,1696,https://twitter.com/twitter/status/1814553661886111888
"RT @NJchartsJP: NewJeansとフォートナイトが今年の12月からコラボを開始します！

#NewJeans #뉴진스 https://t.co/kIUzPJzbLZ",2024-07-20T06:51:14.000Z,482,https://twitter.com/twitter/status/1814553638821634349
"RT @NewJeansCharts: .@NewJeans_ADOR Gaming Collabs

✅ League of Legends (October 2023)
✅ PUBG (June 2024)
🔜 Fortnite (December 2024)

#NewJ…",2024-07-20T06:51:12.000Z,589,https://twitter.com/twitter/status/1814553630617301356
"#뉴진스 #NewJeans #민지 #Minji #ミンジ

Obsessed with her voice https://t.co/aBDGTMcDvW",2024-07-20T06:51:12.000Z,0,https://twitter.com/twitter/status/1814553626838192539
"RT @soungnn: Happy 2nd anniversary to Newjeans😍🥳🥳!!!
#Newjeans 
#happy_2nd_anniversary_Newjeans
#뉴진스 https://t.co/gBvBCjjqZM",2024-07-20T06:51:06.000Z,100,https://twitter.com/twitter/status/1814553602515742987
"아이유 생일카페 세트 팬콘 포카 양일 세트 다육이 토아리 인형키링 실버 아이크 양도

배송비 별도

IU 유애나 음파반지 포토카드 생카 역조공 특전 키트 1기 2기 3기 미공포 폴라 폴라로이드 에스파 카리나 윈터 뉴진스 아이브 장원영 안유진 르세라핌 엔믹스 트리플에스 photocard poca pc sell wts https://t.co/En3f79BmLZ",2024-07-20T06:51:02.000Z,0,https://twitter.com/twitter/status/1814553588657762452
"RT @tribedaloca: [🎥]
트라이비의 틱톡 영상이 업로드 되었습니다🎶
Supernatural🍀

🔗 https://t.co/PVE9JVCzZH

#트라이비 #TRI_BE 
#현빈 #HyunBin #미레 #MiRe #켈리 #kelly 
#뉴…",2024-07-20T06:50:57.000Z,49,https://twitter.com/twitter/status/1814553567585304589
RT @taeny_73: 더 연습해야겠다 오호호호 #뉴진스 #Newjeans https://t.co/1cc21XyZn6,2024-07-20T06:50:57.000Z,3,https://twitter.com/twitter/status/1814553565219987920
"RT @joker_bunnies: 😲~
#놀러와요_뉴진스숲 
#뉴진스 #Newjeans #NEWーじーんず #뉴진스2주년카페 https://t.co/iy5qv7aKJ0",2024-07-20T06:50:56.000Z,9,https://twitter.com/twitter/status/1814553560761184315
"RT @madzzic: 하 오늘 꿈에서
뉴진사 새멤버로 데뷔하는데
안무도 하나도 모르고 진심 저 아줌마 뭐냐는 소리 들어서 너무 괴로웠음 심지어 연말무대에서 데뷔해가지고 인터넷 난리나고 민희진은 저거 쫓아내라고 소리지르고 뉴진스 멤버들이 나 불편해하…",2024-07-20T06:50:55.000Z,1696,https://twitter.com/twitter/status/1814553556734628157
"RT @MarkJP1008: NewJeans Bunnies Camp Tokyo 2024 at WOWOW

**Special feature on NewJeans for 4 consecutive months and A special interview f…",2024-07-20T06:50:52.000Z,151,https://twitter.com/twitter/status/1814553546542755865
"RT @onlyhanni2k4: #뉴진스 #하니 #NewJeans #Hanni 
Actress/ radio presenter Choi Hwa Jung showed off the same look to Hanni when she performed Ao…",2024-07-20T06:50:52.000Z,177,https://twitter.com/twitter/status/1814553545137660100
"RT @VIDINHYE: 혜인 을 작풍으로 그려보았다 ദ്ദി ˉ͈̀꒳ˉ͈́ )✧

#NewJeans #뉴진스 #Hyein #혜인 https://t.co/mejJ8HVMda",2024-07-20T06:50:51.000Z,5180,https://twitter.com/twitter/status/1814553539462443120
"RT @madzzic: 하 오늘 꿈에서
뉴진사 새멤버로 데뷔하는데
안무도 하나도 모르고 진심 저 아줌마 뭐냐는 소리 들어서 너무 괴로웠음 심지어 연말무대에서 데뷔해가지고 인터넷 난리나고 민희진은 저거 쫓아내라고 소리지르고 뉴진스 멤버들이 나 불편해하…",2024-07-20T06:50:49.000Z,1696,https://twitter.com/twitter/status/1814553534035337369
"RT @madzzic: 하 오늘 꿈에서
뉴진사 새멤버로 데뷔하는데
안무도 하나도 모르고 진심 저 아줌마 뭐냐는 소리 들어서 너무 괴로웠음 심지어 연말무대에서 데뷔해가지고 인터넷 난리나고 민희진은 저거 쫓아내라고 소리지르고 뉴진스 멤버들이 나 불편해하…",2024-07-20T06:50:39.000Z,1696,https://twitter.com/twitter/status/1814553491341521090
"RT @NJchartsJP: NewJeansとフォートナイトが今年の12月からコラボを開始します！

#NewJeans #뉴진스 https://t.co/kIUzPJzbLZ",2024-07-20T06:50:32.000Z,482,https://twitter.com/twitter/status/1814553459338723838
"RT @NewJeansCharts: .@NewJeans_ADOR Gaming Collabs

✅ League of Legends (October 2023)
✅ PUBG (June 2024)
🔜 Fortnite (December 2024)

#NewJ…",2024-07-20T06:50:28.000Z,589,https://twitter.com/twitter/status/1814553442423115836
"RT @lovablDea: 아미치겠네
캣닢즈 어제 쇼핑하다가 뉴진스 가방 메고 있는 사람 봤는데
강해린 끝까지 쫓아다니다가 층 한바퀴 돌고나서도 뒤 안 돌아보니까 민지가 겨우 포기시켰대 ㅋㅋㅋㅋㅋㅋ https://t.co/1FPoi4WmEq",2024-07-20T06:50:23.000Z,207,https://twitter.com/twitter/status/1814553424543006998
